Humboldt,Morro Bay,Diablo Canyon,Cape Wind,OCS-A0522,OCS-A0521,OCS-A0534,OCS-A0501,OCS-A0500,OCS-A0487,OCS-A0517,OCS-A0512,OCS-A0508,OCS-A0483,OCS-A0490,OCS-A0486,OCS-A0520,OCS-A0498,OCS-A0499,OCS-A0549
489693,762954,800208,,5860644,5842917,5821639,,5805688,5784427,,,5380743,5357665,5414269,5772013,5825191,5465597,5476228,5486849
489694,762955,800209,,5860645,5842918,5821640,,5805689,5784428,,,5380744,5357666,5414270,5773774,5825192,5465598,5476229,5486850
489695,762956,800210,,5860646,5842919,5821641,,5805690,5784429,,,5380745,5357667,5414271,5773775,5825193,5465599,5476230,5486851
489696,762957,800211,,5860647,5842920,5821642,,5805691,5784430,,,5380746,5357668,5414272,5773776,5825194,5465600,5476231,5488601
489697,762958,800212,,5860648,5842921,5821643,,5805692,5784431,,,5380747,5357669,5414273,5773777,5825195,5465601,5476232,5488602
489698,762959,800213,,5862412,5842922,5821644,,5805693,5784432,,,5380748,5357670,5414274,5773778,5825196,5465602,5477987,5488603
489699,762960,800214,,5862413,5842923,5821645,,5807455,5784433,,,5382510,5359432,5414275,5773781,5825197,5465603,5477988,5488604
489700,762961,800215,,5862414,5844685,5821646,,5807456,5786195,,,5382511,5359433,5416037,5773782,5825198,5465604,5477989,5488605
489701,762962,801967,,5862415,5844686,5821647,,5807457,5786196,,,5382512,5359434,5416038,5773783,5825199,5465605,5477990,5488606
489702,762963,801968,,5862416,5844687,5823411,,5807458,5786197,,,5382513,5359435,5416039,5773784,5825200,5465606,5477991,5488607
489703,762964,801969,,5862417,5844688,5823412,,5807459,5786198,,,5382514,5359436,5416040,5773785,5825201,5465607,5477992,5488608
491454,762965,801970,,5862418,5844689,5823413,,5807460,5786199,,,5382515,5359437,5416041,5775546,5825202,5467366,5477993,5488609
491455,762966,801971,,5862419,5844690,5823414,,5807461,5786200,,,5382516,5359438,5416042,5775547,5825203,5467367,5477994,5488610
491456,762967,801972,,5862420,5844691,5823415,,5807462,5786201,,,5382517,5359439,5416043,5775548,5826961,5467368,5477995,5488611
491457,762968,801973,,5864184,5844692,5823416,,5807463,5786202,,,5382518,5359440,5416044,5775549,5826962,5467369,5477996,5488612
491458,764724,801974,,5864185,5844693,5823417,,5807464,5786203,,,5382519,5359441,5416045,5775550,5826963,5467370,5477997,5488613
491459,764725,801975,,5864186,5844694,5823418,,5807465,5787966,,,5382520,5359442,5416046,5775553,5826964,5467371,5477998,5488614
491460,764726,801976,,5864187,5846456,5825183,,5809227,5787967,,,5382521,5361204,5416047,5775554,5826965,5467372,5477999,5488615
491461,764727,801977,,5864188,5846457,5825184,,5809228,5787968,,,5384282,5361205,5417810,5775555,5826966,5467373,5478000,5488616
491462,764728,801978,,5864189,5846458,5825185,,5809229,5787969,,,5384283,5361206,5417811,5775556,5826967,5467374,5478001,5488617
491463,764729,801979,,5864190,5846459,5825186,,5809230,5787970,,,5384284,5361207,5417812,5775557,5826968,5467375,5478002,5488618
491464,764730,801980,,5864191,5846460,5825187,,5809231,5787971,,,5384285,5361208,5417813,5775558,5826969,5467376,5478003,5488619
491465,764731,801981,,5864192,5846461,5825188,,5809232,5787972,,,5384286,5361209,5417814,5775559,5826970,5467377,5478004,5488620
491466,764732,801982,,5865956,5846462,5825189,,5809233,5787973,,,5384287,5361210,5417815,5775560,5826971,5467378,5479759,5488621
491467,764733,801983,,5865957,5846463,5826956,,5809234,5787974,,,5384288,5361211,5417816,5775561,5826972,5469139,5479760,5488622
491468,764734,801984,,5865958,5846464,5826957,,5809235,5789740,,,5384289,5361212,5417817,5777325,5826973,5469140,5479761,5488623
491469,764735,801985,,5865959,5846465,5826958,,5809236,5789741,,,5384290,5361213,5417818,5777326,5826974,5469141,5479762,5490370
491470,764736,801986,,5865960,5848226,5826959,,5810999,5789742,,,5384291,5361214,5417819,5777327,5828732,5469142,5479763,5490371
491471,764737,801987,,5865961,5848227,5826960,,5811000,5789743,,,5384292,5362976,5419584,5777328,5828733,5469143,5479764,5490372
491472,764738,803739,,5865962,5848228,5828728,,5811001,5789744,,,5384293,5362977,5419585,5777329,5828734,5469144,5479765,5490373
491473,764739,803740,,5865963,5848229,5828729,,5811002,5789745,,,5384294,5362978,5419586,5777330,5828735,5469145,5479766,5490374
493226,764740,803741,,5865964,5848230,5828730,,5811003,5789746,,,5386054,5362979,5419587,5777331,5828736,5469146,5479767,5490375
493227,764741,803742,,5867728,5848231,5828731,,5811004,5791512,,,5386055,5362980,5419588,5777332,5828737,5469147,5479768,5490376
493228,766494,803743,,5867729,5848232,5830501,,5811005,5791513,,,5386056,5362981,5419589,5777333,5828738,5469148,5479769,5490377
493229,766497,803744,,5867730,5848233,5830502,,5811006,5791514,,,5386057,5362982,5419590,5779097,5828739,5469149,5479770,5490378
493230,766498,803745,,5867731,5848234,,,5812771,5791515,,,5386058,5362983,5419591,5779098,5828740,5470913,5479771,5490379
493231,766499,803746,,5867732,5848235,,,5812772,5791516,,,5386059,5362984,5421358,5779099,5828741,5470914,5479772,5490380
493232,766500,803747,,5867733,5849997,,,5812773,5793284,,,5386060,5362985,5421359,5779100,5828742,5470915,5479773,5490381
493233,766501,803748,,5867734,5849998,,,5812774,5793285,,,5386061,5362986,5421360,5779101,5828743,5470916,5479774,5490382
493234,766502,803749,,5867735,5849999,,,5812775,5793286,,,5386062,5364748,5421361,5779102,5828744,5470917,5479775,5490383
493235,766503,803750,,5867736,5850000,,,5812776,5795056,,,5386063,5364749,5421362,5779103,5828745,5470918,5481531,5490384
493236,766504,803751,,5869500,5850001,,,5812777,5795057,,,5386064,5364750,5421363,5779104,5830503,5470919,5481532,5490385
493237,766505,803752,,5869501,5850002,,,5814543,5796828,,,5386065,5364751,5423131,5779105,5830504,5470920,5481533,5490388
493238,766506,803753,,5869502,5850003,,,5814544,5796829,,,5386066,5364752,5423132,5780868,5830505,5472685,5481534,5490389
493239,766507,803754,,5869503,5850004,,,5814545,5796824,,,5386067,5364753,5423133,5780869,5830506,5472686,5481535,5490390
493240,766508,803755,,5869504,5850005,,,5814546,,,,,5364754,5423134,5780870,5830507,5472687,5481536,5490391
493241,766509,803756,,5869505,5850006,,,5814547,,,,,5364755,5423135,5780871,5830508,5472688,5481537,5490392
493242,766510,803757,,5869506,5850007,,,5814548,,,,,5364756,5424904,5780872,5830509,5472689,5481538,5490393
493243,766511,803758,,5869507,5851769,,,5814549,,,,,5364757,5424905,5780873,5830510,5472690,5481539,5490394
493244,766512,803759,,5869508,5851770,,,5816314,,,,,5364758,5424906,5780874,5830511,5472691,5481540,5490395
494998,766513,805511,,5871272,5851771,,,5816315,,,,,,5424907,5780875,5830512,5474458,5481541,5492142
494999,768265,805512,,5871273,5851772,,,5816316,,,,,,5426679,5780876,5830513,5474459,5481542,5492143
495000,768266,805513,,5871274,5851773,,,5816317,,,,,,,5782640,5830514,5474460,5481543,5492144
495001,768267,805514,,5871275,5851774,,,5816318,,,,,,,5782641,5830515,5474461,5481544,5492145
495002,768270,805515,,5871276,5851775,,,5816319,,,,,,,5782642,5830516,5474462,5481545,5492146
495003,768271,805516,,5871277,5851776,,,5816320,,,,,,,5782643,5832273,5476232,5481546,5492147
495004,768272,805517,,5871278,5851777,,,5818085,,,,,,,5782644,5832274,5476233,5483304,5492148
495005,768273,805518,,5871279,5851778,,,5818086,,,,,,,5782645,5832275,,5483305,5492149
495006,768274,805519,,5871280,5853540,,,5818087,,,,,,,5782646,5832276,,5483306,5492150
495007,768275,805520,,5873044,5853541,,,5818088,,,,,,,5782647,5832277,,5483307,5492151
495008,768276,805521,,5873045,5853542,,,5818089,,,,,,,5782648,5832278,,5483308,5492152
495009,768277,805522,,5873046,5853543,,,5818090,,,,,,,5784412,5832279,,5483309,5492153
495010,768278,805523,,5873047,5853544,,,5819857,,,,,,,5784413,5832280,,5483310,5492154
495011,768279,805524,,5873048,5853545,,,5819858,,,,,,,5784414,5832281,,5483311,5492155
495012,768280,805525,,5873049,5853546,,,5819859,,,,,,,5784415,5832282,,5483312,5492156
495013,768281,805526,,5873050,5853547,,,5819860,,,,,,,5784416,5832283,,5483313,5492157
496770,768282,805527,,5873051,5853548,,,5819861,,,,,,,5784417,5832284,,5483314,5492160
496771,768283,805528,,5873052,5855318,,,5821628,,,,,,,5784418,5832285,,5483315,5492161
496772,768284,805529,,5874816,5855319,,,5821629,,,,,,,5784419,5832286,,5483316,5492162
496773,768285,805530,,5874817,5857090,,,5821630,,,,,,,5784420,5832287,,5483317,5492163
496774,770033,805531,,5874818,5858862,,,5821631,,,,,,,5786184,5834045,,5485077,5492164
496775,770034,807283,,5874819,,,,5821632,,,,,,,5786185,5834046,,5485078,5492165
496776,770035,807284,,5874820,,,,5821633,,,,,,,5786186,5834047,,5485079,5492166
496777,770036,807285,,5874821,,,,5823400,,,,,,,5786187,5834048,,5485080,5492167
496778,770037,807286,,5874822,,,,5823401,,,,,,,5786188,5834049,,5485081,
496779,770038,807287,,5874823,,,,5823402,,,,,,,5786189,5834050,,5485082,
496780,770039,807288,,5874824,,,,5823403,,,,,,,5786190,5834051,,5485083,
496781,770040,807289,,5876588,,,,5825172,,,,,,,5786191,5834052,,5485084,
496782,770042,807290,,5876589,,,,5825173,,,,,,,5786192,5834053,,5485085,
496783,770043,807291,,5876590,,,,5825174,,,,,,,5787956,5834054,,5485086,
498540,770044,807292,,5876591,,,,5826944,,,,,,,5787957,5834055,,5485087,
498541,770045,807293,,5876592,,,,5826945,,,,,,,5787958,5834056,,5485088,
498542,770046,807294,,5876593,,,,5828716,,,,,,,5787959,5834057,,5486851,
498543,770047,807295,,5876594,,,,5828717,,,,,,,5787960,5834058,,5486852,
498544,770048,807296,,5876595,,,,,,,,,,,5787961,5835816,,5486853,
498545,770049,807297,,5876596,,,,,,,,,,,5787962,5835817,,5486854,
498546,770050,807298,,,,,,,,,,,,,5787963,5835818,,5486855,
498547,770051,807299,,,,,,,,,,,,,5787964,5835819,,5486856,
498548,770052,807300,,,,,,,,,,,,,5789732,5835820,,5486857,
498549,770053,807301,,,,,,,,,,,,,5789733,5835821,,5486858,
498550,770054,807302,,,,,,,,,,,,,5789734,5835822,,5488623,
498551,770055,807303,,,,,,,,,,,,,5789735,5835823,,5488624,
498552,770056,809055,,,,,,,,,,,,,5791504,5835824,,5488625,
498553,770057,809056,,,,,,,,,,,,,5791505,5835825,,5488626,
500323,771806,809057,,,,,,,,,,,,,5793276,5835826,,5488627,
500324,771807,809058,,,,,,,,,,,,,5793277,5835827,,5488628,
,771808,809059,,,,,,,,,,,,,5795048,5835828,,5488629,
,771809,809060,,,,,,,,,,,,,5795049,5837587,,5490395,
,771810,809061,,,,,,,,,,,,,5796819,5837588,,5490396,
,771811,809062,,,,,,,,,,,,,5796820,5837589,,5490397,
,771812,809063,,,,,,,,,,,,,5796821,5837590,,5490398,
,771815,809064,,,,,,,,,,,,,5798591,5837591,,5490399,
